Nazwa pliku: Data/ftv170.atsp.txt;;;;;;;;;;;;;;;;
;alfa;beta;powtórzenia;optymalny koszt;minimlany otrzymany koszt;œredni otrzymany koszt;Maksymalny otrzymany koszt;Minimalny czas wykonywania algorytmu [ms]:  ;Œredni czas wykonywania algorytmu [ms]:  ;Maksymalny czas wykonywania algorytmu [ms]:  ;Minimalny wspó³czynnik b³êdu [j]:  ;Œredni wspó³czynnik b³êdu [j]:  ;Maksymalny wspó³czynnik b³êdu [j]:  ;Minimalny wspó³czynnik b³êdu [%]:  ;Œredni wspó³czynnik b³êdu [%]:  ;Maksymalny wspó³czynnik b³êdu [%]:  
;0.1;1;1000;2755;14108;;14703;;52131.7;62969.9;11353;11777.4;11948;412.087;427.492;433.684
;;2;1000;2755;6153;;7182;;56095.6;63007.7;3398;4077.7;4427;123.339;148.011;160.69
;;3;1000;2755;4270;;4497;;52068.6;57621.4;1515;1628.3;1742;54.9909;59.1034;63.2305
;;4;1000;2755;3698;;3826;;50610.2;67664.3;943;986;1071;34.2287;35.7895;38.8748
;;5;1000;2755;3434;;3525;;47391.3;52668.5;679;738.7;770;24.6461;26.8131;27.9492
;;6;1000;2755;3389;;3485;;46076.2;51473.7;634;674.4;730;23.0127;24.4791;26.4973
;0.5;1;1000;2755;7332;;8105;;58780.5;65441.7;4577;5036.2;5350;166.134;182.802;194.192
;;2;1000;2755;3842;;4213;;50569.8;56351;1087;1293.9;1458;39.4555;46.9655;52.922
;;3;1000;2755;3351;;3514;;46655.5;51896.2;596;697.6;759;21.6334;25.3212;27.5499
;;4;1000;2755;3118;;3418;;44881.2;49729.8;363;566.6;663;13.176;20.5662;24.0653
;;5;1000;2755;3279;;3391;;43997.8;48936.2;524;578.9;636;19.02;21.0127;23.0853
;;6;1000;2755;3218;;3385;;43177;47912;463;567.317;630;16.8058;20.592284;22.8675
;1;1;1000;2755;4163;;4682;;47700.9;53624.8;1408;1675.1;1927;51.1071;60.8022;69.9456
;;2;1000;2755;3519;;3993;;44164.3;49304.5;764;933.5;1238;27.7314;33.8838;44.9365
;;3;1000;2755;3403;;3739;;43131.1;48978.4;648;828.4;984;23.5209;30.069;35.7169
;;4;1000;2755;3353;;3582;;42555.8;47503.6;598;728.3;827;21.706;26.4356;30.0181
;;5;1000;2755;3314;;3597;;41932.1;46467.1;559;690.8;842;20.2904;25.0744;30.5626
;;6;1000;2755;3233;;3567;;41342.1;46736.6;478;623.5;812;17.3503;22.6316;29.4737
;2;1;1000;2755;11601;;14374;;43741.2;48625.4;8846;10378.7;11619;321.089;376.722;421.742
;;2;1000;2755;5739;;6644;;42947.1;47818.8;2984;3408.3;3889;108.312;123.713;141.162
;;3;1000;2755;4784;;5450;;42776.3;48229.6;2029;2283.2;2695;73.6479;82.8748;97.8221
;;4;1000;2755;3931;;4478;;42538.1;47634.1;1176;1486.5;1723;42.686;53.9564;62.5408
;;5;1000;2755;3885;;4446;;42232.6;45289.2;1130;1295.3;1691;41.0163;47.0163;61.3793
;;6;1000;2755;3763;;4216;;41480;45572.1;1008;1172.6;1461;36.588;42.5626;53.0309
;3;1;1000;2755;14604;;17417;;43431.9;48562.6;11849;13575.8;14662;430.091;492.77;532.196
;;2;1000;2755;7910;;9336;;42475.7;47972;5155;5835.1;6581;187.114;211.8;238.875
;;3;1000;2755;5308;;6455;;41318.9;47791.7;2553;3081.2;3700;92.6679;111.84;134.301
;;4;1000;2755;4475;;5404;;40674.4;45341;1720;2099.3;2649;62.4319;76.1996;96.1525
;;5;1000;2755;4310;;4798;;42015.8;45225.9;1555;1794.2;2043;56.4428;65.1252;74.1561
;;6;1000;2755;3874;;4515;;41194.9;46853.5;1119;1483.5;1760;40.6171;53.8475;63.8838
;5;1;1000;2755;15961;;18753;;42706.3;47466.9;13206;14783.6;15998;479.347;536.61;580.69
;;2;1000;2755;8723;;10091;;42012.8;47051.5;5968;6531.7;7336;216.624;237.085;266.279
;;3;1000;2755;5612;;7017;;41428.9;46346.5;2857;3725.7;4262;103.702;135.234;154.701
;;4;1000;2755;4405;;5980;;40184.1;45694;1650;2425.4;3225;59.8911;88.0363;117.06
;;5;1000;2755;5315;;4136;;37075.9;41388.7;1381;2171.6;2560;50.127;78.824;92.922
;;6;1000;2755;4074;;5111;;36092.5;39361.9;1319;1954.6;2356;47.8766;70.9474;85.5172
;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;
